"tag","db_category_filled","tag_jp","category_jp","source_post_count","source_created_at"
"very_long_braid","general","とても長い三つ編み","髪","16011","2026-05-23"
"bun_with_braided_base","general","編み込み土台のお団子","髪","10370","2024-07-07"
"colored_bangs","general","色付きの前髪","髪","6226","2023-06-11"
"braided_twintails","general","編み込みツインテール","髪","5037","2017-12-23"
"nape_braid","general","襟足の三つ編み","髪","4102","2022-10-03"
"braided_sidelocks","general","編み込みサイドロック","髪","4067","2024-02-25"
"donut_hair_bun","general","ドーナツ型お団子","髪","3752","2021-09-21"
"patterned_hair","general","柄のある髪","髪","3408","2017-08-01"
"ribbon_in_braid","general","三つ編みに入れたリボン","髪","3398","2026-05-08"
"half_up_half_down_braid","general","ハーフアップ・ハーフダウンの三つ編み","髪","3326","2024-04-27"
"single_braided_sidelock","general","一本の編み込みサイドロック","髪","3317","2026-04-26"
"low_side_ponytail","general","低い位置のサイドポニー","髪","3245","2023-04-21"
"blunt_sidelocks","general","切りそろえたサイドロック","髪","2962","2024-01-14"
"kinky_hair","general","強く縮れた髪","髪","2919","2024-01-02"
"short_side_ponytail","general","短いサイドポニー","髪","2507","2025-10-04"
"ponytail_with_braided_base","general","編み込み土台のポニーテール","髪","2381","2024-05-13"
"hair_vines","general","つる状の髪","髪","2045","2015-07-28"
"half_crown_braid","general","ハーフクラウンブレイド","髪","1993","2024-07-08"
"very_long_sidelocks","general","とても長いサイドロック","髪","1719","2024-04-30"
"loosely_tucked_bangs","general","ゆるく留めた前髪","髪","1636","2024-05-29"
"naturally_detached_hair","general","自然に分離した髪","髪","1636","2026-04-08"
"twintails_with_hair_base","general","髪の土台があるツインテール","髪","1600","2024-07-08"
"hair_floating_upwards","general","上向きに浮く髪","髪","1570","2023-05-17"
"hair_between_horns","general","角の間の髪","髪","1407","2021-01-08"
"plant_hair","general","植物の髪","髪","1246","2016-06-12"
"flipped_bangs","general","跳ねた前髪","髪","1242","2015-08-16"
"heart-shaped_hair","general","ハート形の髪","髪","1242","2023-08-29"
"wavy_sidelocks","general","波打つサイドロック","髪","1141","2024-04-20"
"curly_sidelocks","general","巻き髪のサイドロック","髪","1098","2024-03-05"
"short_braid","general","短い三つ編み","髪","1045","2013-02-25"
"twintails_with_braided_base","general","編み込み土台のツインテール","髪","1041","2024-07-07"
"single_drill","general","一本ドリルヘア","髪","1037","2018-05-18"
"tall_hair","general","背の高い髪","髪","960","2017-03-15"
"see-through_hair","general","透ける髪","髪","871","2017-07-16"
"impossible_hair","general","非現実的な髪","髪","853","2013-02-24"
"braid_over_shoulder","general","肩にかかる三つ編み","髪","848","2016-07-26"
"borrowed_hairstyle","general","借りた髪型","髪","832","2018-02-15"
"living_hair","general","生きている髪","髪","751","2013-02-27"
"long_single_sidelock","general","長い片側サイドロック","髪","710","2025-08-09"
"folded_twintails","general","折り返しツインテール","髪","689","2016-08-30"
"mechanical_hair","general","機械の髪","髪","682","2021-01-24"
"heart_hair_bun","general","ハート形お団子","髪","634","2021-02-21"
"hairstyle_connection","general","髪型のつながり","髪","630","2016-01-15"
"uneven_bangs","general","不揃いな前髪","髪","598","2014-10-11"
"flower-shaped_hair","general","花形の髪","髪","574","2022-05-17"
"hair_over_mouth","general","口にかかる髪","髪","559","2016-10-31"
"hair_around_ear","general","耳の周りの髪","髪","533","2020-02-26"
"hair_undone","general","ほどいた髪","髪","507","2013-02-25"
"matching_hairstyle","general","おそろいの髪型","髪","500","2014-06-19"
"spotted_hair","general","斑点模様の髪","髪","492","2017-02-28"
"fake_hair_bun","general","付けお団子","髪","488","2015-07-19"
"hair_half_undone","general","半分ほどけた髪","髪","472","2013-02-28"
"very_low_bun","general","とても低い位置のお団子","髪","407","2023-09-25"
"cable_hair","general","ケーブル状の髪","髪","398","2023-05-02"
"slime_hair","general","スライム状の髪","髪","398","2018-08-15"
"hair_tuft","general","髪のひと房","髪","386","2022-03-28"
"flipped_sidelocks","general","跳ねたサイドロック","髪","376","2024-08-23"
"polka_dot_hair","general","水玉模様の髪","髪","365","2016-11-15"
"folded_braid","general","折りたたまれた三つ編み","髪","344","2016-11-09"
"hair_hanging_down","general","垂れ下がった髪","髪","342","2026-06-09"
"iridescent_hair","general","虹色に光る髪","髪","341","2024-01-30"
"metal_hair","general","金属の髪","髪","335","2023-12-10"
"cloud_hair","general","雲のような髪","髪","333","2013-02-25"
"back_hair","general","後ろ髪","髪","324","2017-08-15"
"half_up_bun","general","ハーフアップお団子","髪","301","2024-07-11"
"high_braided_ponytail","general","高い位置の編み込みポニー","髪","299","2024-09-02"
"french_braided_twintails","general","フレンチブレイドのツインテール","髪","260","2024-04-27"
"front_braid","general","前方の三つ編み","髪","219","2013-02-28"
"low-tied_medium_hair","general","低く結んだセミロング","髪","217","2023-10-29"
"dutch_braided_ponytail","general","ダッチブレイドのポニーテール","髪","203","2025-06-22"
"lion_hair","general","たてがみ状の髪","髪","201","2020-09-04"
"hair_half_over_shoulder","general","肩に半分かかった髪","髪","198","2024-01-02"
"cat_ear-shaped_hair","general","猫耳形の髪","髪","184","2024-10-03"
"triangle-shaped_hair","general","三角形の髪","髪","173","2025-01-24"
"adapted_hairstyle","general","アレンジした髪型","髪","162","2024-10-22"
"hair_dye","general","染めた髪","髪","149","2013-02-25"
"triple_bun","general","三つのお団子","髪","134","2013-02-23"
"huge_hair_bun","general","巨大なお団子","髪","130","2024-02-28"
"medium_sidelocks","general","中くらいのサイドロック","髪","120","2025-03-09"
"layered_hair","general","レイヤーの入った髪","髪","115","2017-12-23"
"thick_back_hair","general","濃い後ろ髪","髪","92","2024-01-02"
"star-shaped_hair","general","星形の髪","髪","90","2022-06-23"
"inward_flipped_hair","general","内巻きの髪","髪","83","2024-08-25"
"box_braids","general","ボックスブレイズ","髪","81","2024-12-17"
"double-parted_hair","general","二つに分かれた髪","髪","81","2023-08-28"
"rope_braid","general","ロープ編み","髪","81","2025-01-20"
"shoulder_hair","general","肩までの髪","髪","81","2020-07-19"
"upswept_hair","general","上向きに整えた髪","髪","68","2016-06-13"
"crested_hair","general","とさか状の髪","髪","58","2022-01-03"
"short_messy_bangs","general","短く乱れた前髪","髪","58","2015-11-16"
"curly_bangs","general","巻いた前髪","髪","44","2024-09-01"
"messy_bangs","general","乱れた前髪","髪","38","2023-03-26"
"high_twin_braids","general","高い位置のおさげ","髪","34","2024-06-24"
"detached_hair_bun","general","分離したお団子","髪","31","2025-03-01"
"diamond-shaped_hair","general","ダイヤ形の髪","髪","31","2025-09-09"
"colored_sidelocks","general","色付きサイドロック","髪","27","2025-05-02"
"symbol-shaped_hair","general","記号形の髪","髪","27","2025-09-09"
"puffy_hair","general","ふくらんだ髪","髪","20","2013-03-25"
"animal_print_hair","general","アニマル柄の髪","髪","13","2026-08-14"
"robot_hair","general","ロボットの髪","髪","14","2026-07-02"
"coin_bangs","general","コイン付き前髪","髪","21","2026-05-28"
"grey_sclera","general","灰色の強膜","目","1336","2013-08-26"
"square_pupils","general","四角形の瞳孔","目","1264","2013-02-25"
"extra_pupils","general","追加の瞳孔","目","1257","2018-04-29"
"purple_sclera","general","紫色の強膜","目","1185","2013-02-28"
"triangle-shaped_pupils","general","三角形の瞳孔","目","1178","2015-08-11"
"crosshair_pupils","general","照準形の瞳孔","目","1173","2018-06-08"
"cutout_eyelashes","general","切り抜きまつげ","目","1128","2025-05-14"
"aqua_pupils","general","水色の瞳孔","目","1094","2017-08-28"
"dilated_pupils","general","散大した瞳孔","目","1069","2013-02-28"
"spiral-only_eyes","general","渦巻きだけの目","目","1015","2021-03-17"
"mismatched_eyelashes","general","左右で異なるまつげ","目","990","2021-10-04"
"shiny_eyes","general","光沢のある目","目","989","2013-02-21"
"grey_pupils","general","灰色の瞳孔","目","965","2014-01-17"
"googly_eyes","general","ぎょろ目","目","767","2013-02-24"
"rainbow_eyes","general","虹色の目","目","708","2013-02-27"
"colored_eyebrows","general","色付きの眉","目","649","2013-02-27"
"rectangular_pupils","general","長方形の瞳孔","目","647","2019-11-12"
"text_in_eyes","general","目の中の文字","目","644","2013-02-27"
"pac-man_eyes","general","パックマン目","目","634","2013-02-28"
"paw-shaped_pupils","general","肉球形の瞳孔","目","511","2020-08-21"
"brown_pupils","general","茶色の瞳孔","目","458","2018-06-02"
"lens_eye","general","レンズ状の目","目","416","2023-04-24"
"squiggle_eyes","general","ぐるぐる目","目","409","2023-08-20"
"dot_pupils","general","点の瞳孔","目","406","2017-12-31"
"glowing_pupils","general","光る瞳孔","目","395","2013-02-26"
"brown_sclera","general","茶色の強膜","目","368","2014-11-20"
"stitched_eye","general","縫い付けられた目","目","363","2018-09-24"
"inverted_eyelashes","general","逆向きのまつげ","目","340","2025-05-14"
"diamond_in_eye","general","目の中のダイヤ","目","326","2022-12-28"
"clover-shaped_pupils","general","クローバー形の瞳孔","目","322","2017-06-11"
"aqua_sclera","general","水色の強膜","目","307","2013-03-03"
"asymmetrical_eyes","general","左右非対称の目","目","296","2013-02-19"
"drawn_eyes","general","描かれた目","目","290","2026-03-14"
"fish-shaped_pupils","general","魚形の瞳孔","目","290","2023-06-07"
"single_eyebrow","general","一本眉","目","272","2018-11-08"
"pixel_eyes","general","ピクセル目","目","265","2022-11-27"
"single_empty_eye","general","片目だけの虚ろな目","目","185","2017-06-27"
"mismatched_eyes","general","左右で異なる目","目","179","2017-08-30"
"snowflake_pupils","general","雪の結晶形の瞳孔","目","156","2016-01-03"
"lightning_bolt-shaped_pupils","general","稲妻形の瞳孔","目","154","2022-05-01"
"eye_glitter","general","目のきらめき","目","149","2020-11-20"
"single_blank_eye","general","片目だけの空白の目","目","143","2024-06-24"
"rectangular_eyes","general","長方形の目","目","136","2024-08-07"
"butterfly_in_eye","general","目の中の蝶","目","132","2020-09-08"
"cross_in_eye","general","目の中の十字","目","129","2023-05-30"
"melting_eyes","general","溶けた目","目","126","2022-12-26"
"pale_eye","general","淡い色の目","目","121","2013-02-27"
"black_hole-shaped_pupils","general","黒い穴形の瞳孔","目","113","2024-09-18"
"solid_eye","general","塗りつぶされた片目","目","107","2013-09-02"
"beaded_eyelashes","general","ビーズ付きまつげ","目","106","2025-08-19"
"iris_print","general","虹彩の柄","目","103","2023-07-07"
"asymmetrical_eyelashes","general","左右非対称のまつげ","目","101","2024-05-04"
"central_heterochromia","general","中心型オッドアイ","目","25","2026-08-11"
"crystal_eye","general","水晶の目","目","80","2022-11-22"
"cat-shaped_pupils","general","猫形の瞳孔","目","76","2016-02-19"
"two-tone_eyebrows","general","ツートンカラーの眉","目","70","2023-12-25"
"gem_eyes","general","宝石のような目","目","67","2024-08-08"
"jagged_sclera","general","ぎざぎざの強膜","目","55","2025-01-11"
"radiation_symbol-shaped_pupils","general","放射線記号形の瞳孔","目","54","2023-07-14"
"gear-shaped_pupils","general","歯車形の瞳孔","目","46","2025-06-17"
"patterned_eyes","general","柄のある目","目","46","2022-12-26"
"x_eye","general","X字の目","目","43","2025-05-30"
"bone-shaped_pupils","general","骨形の瞳孔","目","37","2021-09-18"
"character-shaped_pupils","general","文字形の瞳孔","目","36","2026-04-28"
"multicolored_sclera","general","多色の強膜","目","36","2017-10-16"
"spade-shaped_pupils","general","スペード形の瞳孔","目","35","2018-03-10"
"colored_lower_eyelashes","general","色付きの下まつげ","目","34","2025-11-24"
"gradient_eyelashes","general","グラデーションまつげ","目","30","2024-09-27"
