"index","tag","db_category_filled","tag_jp","category_jp"
"0","<PAD>","system","パディング","システム"
"1","<UNK>","system","不明なタグ","システム"
"2","highres","general","高解像度","画質・解像度"
"3","1girl","general","一人の女性","人数"
"4","solo","general","ソロ","人数"
"5","long_hair","general","ロングヘア","髪・目・肌"
"6","breasts","general","胸","身体特徴"
"7","looking_at_viewer","general","目線","構図・カメラ"
"8","blush","general","赤面","表情・感情"
"9","absurdres","general","非常に高い解像度","画質・解像度"
"10","smile","general","笑顔","表情・感情"
"11","open_mouth","general","口を開けている","表情・感情"
"12","short_hair","general","ショートヘア","髪・目・肌"
"13","simple_background","general","シンプルな背景","背景・環境"
"14","shirt","clothing","シャツ","衣服"
"15","blue_eyes","general","青い目","髪・目・肌"
"16","large_breasts","general","巨乳","身体特徴"
"17","long_sleeves","general","長袖","衣服"
"18","skirt","clothing","スカート","衣服"
"19","multiple_girls","general","複数の女の子","人数"
"20","white_background","general","白背景","背景・環境"
"21","touhou","copyright","東方Project","作品・シリーズ"
"22","blonde_hair","general","金髪","髪・目・肌"
"23","black_hair","general","黒髪","髪・目・肌"
"24","brown_hair","general","茶髪","髪・目・肌"
"25","hair_ornament","general","ヘアアクセサリー","アクセサリー"
"26","holding","general","持っている","ポーズ・動作"
"27","gloves","clothing","手袋","衣服"
"28","1boy","general","一人の男性","人数"
"29","dress","clothing","ドレス","衣服"
"30","red_eyes","general","赤い目","髪・目・肌"
"31","hair_between_eyes","general","目にかかる前髪","髪・目・肌"
"32","bow","clothing","リボン","アクセサリー"
"33","photoshop_(medium)","general","Photoshop","制作媒体・ツール"
"34","hat","clothing","帽子","アクセサリー"
"35","closed_mouth","general","口を閉じている","表情・感情"
"36","animal_ears","general","獣耳","身体特徴"
"37","thighhighs","general","ニーハイ","衣服"
"38","navel","general","へそ","身体特徴"
"39","ribbon","clothing","リボン","アクセサリー"
"40","jewelry","general","ジュエリー","アクセサリー"
"41","cleavage","general","谷間","身体特徴"
"42","2girls","general","二人の女の子","人数"
"43","bare_shoulders","general","肩出し","身体特徴"
"44","sitting","pose","座っている","ポーズ・動作"
"45","very_long_hair","general","超ロングヘア","髪・目・肌"
"46","jacket","clothing","ジャケット","衣服"
"47","kantai_collection","copyright","艦隊これくしょん","作品・シリーズ"
"48","medium_breasts","general","並乳","身体特徴"
"49","twintails","general","ツインテール","髪・目・肌"
"50","standing","pose","立っている","ポーズ・動作"
"51","white_shirt","general","白シャツ","衣服"
"52","brown_eyes","general","茶色い目","髪・目・肌"
"53","green_eyes","general","緑の目","髪・目・肌"
"54","collarbone","clothing","鎖骨","身体特徴"
"55","upper_body","general","上半身","構図・カメラ"
"56","blue_hair","general","青髪","髪・目・肌"
"57","nipples","general","乳首","成人向け/センシティブ"
"58","purple_eyes","general","紫の目","髪・目・肌"
"59","tail","general","尻尾","身体特徴"
"60","underwear","general","下着","衣服"
"61","school_uniform","general","制服","衣服"
"62","full_body","general","全身","構図・カメラ"
"63","multicolored_hair","general","多色の髪","髪・目・肌"
"64","closed_eyes","general","目を閉じている","表情・感情"
"65","white_hair","general","白髪","髪・目・肌"
"66","yellow_eyes","general","黄色い目","髪・目・肌"
"67","ahoge","general","アホ毛","髪・目・肌"
"68","male_focus","general","男性中心","人数"
"69","pink_hair","general","ピンク色の髪","髪・目・肌"
"70","grey_hair","general","灰色の髪","髪・目・肌"
"71","short_sleeves","general","半袖","衣服"
"72","swimsuit","clothing","水着","衣服"
"73","panties","clothing","パンティ","衣服"
"74","braid","general","三つ編み","髪・目・肌"
"75","purple_hair","general","紫色の髪","髪・目・肌"
"76","sidelocks","general","サイドロック","髪・目・肌"
"77","flower","general","花","自然物"
"78","hair_ribbon","general","ヘアリボン","アクセサリー"
"79","fate_(series)","copyright","Fateシリーズ","作品・シリーズ"
"80","ponytail","general","ポニーテール","髪・目・肌"
"81","heart","general","ハート","テキスト・シンボル"
"82",":d","general","大きく口を開けた笑顔","表情・感情"
"83","ass","general","お尻","身体特徴"
"84","weapon","general","武器","武器"
"85","earrings","general","イヤリング","アクセサリー"
"86","monochrome","general","モノクロ","画風・表現"
"87","cowboy_shot","general","カウボーイショット","構図・カメラ"
"88","thighs","general","太もも","身体特徴"
"89","hair_bow","general","ヘアリボン","アクセサリー"
"90","sweat","general","汗","表情・感情"
"91","pleated_skirt","general","プリーツスカート","衣服"
"92","hetero","general","異性愛","関係・交流"
"93","frills","general","フリル","衣服"
"94","pantyhose","general","パンスト","衣服"
"95","outdoors","background","屋外","背景・環境"
"96","open_clothes","general","服を開けている","衣服"
"97","teeth","general","歯","身体特徴"
"98","bikini","clothing","ビキニ","衣服"
"99","parted_lips","general","半開きの唇","表情・感情"
"100","red_hair","general","赤い髪","髪・目・肌"
"101","small_breasts","general","微乳","身体特徴"
"102","hairband","general","ヘアバンド","アクセサリー"
